date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,monthly_income_outlier_flag,monthly_expense_total_outlier_flag,savings_rate_outlier_flag,net_savings,year,month,discretionary_ratio,essential_ratio,expense_income_ratio
2021-01-20,1462,3844.67,2516.9,0.39,3275.03,inflation,673.0,0.29,509.86,380.98,8,670.32,25,0,622.93,2642.72,Salary,916.63,Transportation,Negative,10.4,Medium,1327.77,0,0,0,0,1327.77,2021,1,0.24749890738607014,1.0499900671460922,0.654646562643868
2020-03-26,1874,4608.24,3625.17,0.06,2930.12,inflation,620.0,0.55,515.45,416.9,7,1164.02,48,0,51.5,1419.08,Salary,1110.61,Entertainment,Neutral,6.6,High,983.07,0,0,0,0,983.0699999999997,2020,3,0.014206230328508731,0.3914519870792266,0.7866712671215041
2022-11-11,1411,3879.76,1873.07,0.06,2399.13,inflation,744.0,0.15,210.98,233.22,3,572.47,43,0,577.82,1561.96,Mixed,1532.44,Dining Out,Positive,9.1,Medium,2006.69,0,0,0,0,2006.6900000000003,2022,11,0.3084882038578377,0.8339036982066874,0.4827798626719178
2023-08-08,1961,3422.26,3461.29,0.25,2636.77,inflation,658.0,0.18,802.82,481.17,6,1057.28,58,0,387.11,2462.29,Salary,878.44,Groceries,Negative,18.0,Medium,0.0,0,0,0,0,-39.029999999999745,2023,8,0.1118398053904758,0.7113792834463452,1.0114047442333427
2022-08-13,1655,4411.69,2921.08,0.39,2702.22,inflation,629.0,0.42,800.1,391.09,3,1538.68,24,0,346.55,2361.76,Salary,1306.63,Groceries,Positive,98.9,High,1490.61,0,0,0,0,1490.6099999999997,2022,8,0.1186376271789886,0.8085228751009902,0.6621226786106912
2022-04-15,1808,4148.47,3669.69,0.36,2487.54,inflation,720.0,0.32,369.29,45.38,8,2083.31,46,0,814.04,2672.96,Salary,1480.44,Dining Out,Negative,91.5,Low,478.78,0,0,0,0,478.7800000000002,2022,4,0.22182800182031723,0.7283885014810515,0.884588776102997
2021-01-20,1972,3254.1,3542.05,0.09,2932.3,inflation,614.0,0.14,341.82,152.04,3,939.15,49,1,654.42,2334.65,Salary,1040.13,Groceries,Negative,24.2,Medium,0.0,0,0,0,0,-287.9500000000003,2021,1,0.18475741449160796,0.6591239536426645,1.0884883685197138
2021-11-16,1260,3322.09,3557.36,0.11,2501.65,inflation,700.0,0.4,583.16,628.83,6,1535.07,48,0,996.56,2094.45,Salary,802.1,Groceries,Positive,94.5,Low,0.0,0,0,0,0,-235.26999999999998,2021,11,0.28014032878314254,0.5887652641284548,1.0708198754398586
2021-03-21,1464,4958.81,2126.0,0.22,3190.56,inflation,700.0,0.59,654.82,465.46,2,470.96,61,0,528.04,2718.4,Mixed,2217.06,Entertainment,Positive,95.2,Medium,2832.81,0,0,0,0,2832.8100000000004,2021,3,0.2483725305738476,1.2786453433678269,0.42873189333731276
2020-09-22,1655,3829.03,3488.95,0.21,3042.72,inflation,747.0,0.53,258.94,335.92,5,128.65,51,0,83.77,1744.86,Mixed,959.2,Investments,Positive,55.9,Low,340.08,0,0,0,0,340.0800000000004,2020,9,0.024010088995256453,0.5001103483856174,0.9111837723914411
2020-11-21,1491,1798.64,3894.69,0.17,3000.14,inflation,755.0,0.23,368.18,1292.3,5,1613.78,78,0,808.24,1903.94,Salary,1839.67,Insurance,Positive,77.4,High,0.0,0,0,0,0,-2096.05,2020,11,0.2075235769727501,0.48885533893583316,2.1653527109371526
2020-09-22,1941,3091.21,3412.58,0.27,2999.49,inflation,706.0,0.51,550.27,370.47,5,1697.6,32,0,153.41,2259.64,Salary,1726.89,Healthcare,Positive,49.4,High,0.0,0,0,0,0,-321.3699999999999,2020,9,0.044954257482608465,0.6621500448341138,1.1039625260011452
2023-02-09,1003,4031.86,2988.7,0.38,2297.4,inflation,724.0,0.47,841.49,361.1,6,1267.38,48,0,452.69,2539.89,Freelance,1670.69,Insurance,Positive,51.7,Low,1043.16,0,0,0,0,1043.1600000000003,2023,2,0.15146719309398737,0.8498310302138053,0.7412707782512289
2021-08-18,1408,3874.63,3996.49,0.27,3644.35,inflation,718.0,0.47,921.48,331.95,6,1723.08,59,0,296.01,2314.92,Salary,1702.48,Insurance,Neutral,76.1,Low,0.0,0,0,0,0,-121.85999999999967,2021,8,0.07406749422618347,0.5792382815920971,1.0314507449743588
2021-02-19,1869,3890.29,3315.21,0.33,2583.23,inflation,718.0,0.42,309.56,195.56,2,665.41,62,0,455.2,2062.29,Salary,930.38,Transportation,Positive,19.4,High,575.08,0,0,0,0,575.0799999999999,2021,2,0.1373065356342434,0.622069190187047,0.852175544753733
2019-11-27,1650,3256.31,4113.42,0.31,2881.28,inflation,665.0,0.58,137.77,334.65,9,1370.47,37,0,341.89,2869.74,Mixed,1251.95,Transportation,Negative,2.9,High,0.0,0,0,0,0,-857.1100000000001,2019,11,0.08311575282854655,0.6976530478288139,1.2632151115833568
2022-08-13,1812,4447.19,3332.54,0.27,3204.24,inflation,700.0,0.56,454.22,114.05,1,479.52,79,0,444.38,2825.77,Salary,834.39,Insurance,Negative,78.7,Medium,1114.65,0,0,0,0,1114.6499999999996,2022,8,0.13334573628523588,0.847932808008306,0.7493585837348978
2021-09-17,1313,3465.48,812.73,0.27,3439.43,inflation,723.0,0.17,366.48,438.91,1,472.66,71,0,704.15,3518.15,Freelance,753.28,Transportation,Positive,74.4,Medium,2652.75,0,0,1,0,2652.75,2021,9,0.8664008957464349,4.328805384321977,0.23452162470999688
2021-12-16,1699,3939.2,4184.22,0.29,2081.92,inflation,577.0,0.38,680.05,344.16,5,1769.05,79,0,416.59,2163.71,Salary,1352.37,Insurance,Positive,11.4,Low,0.0,0,0,0,0,-245.02000000000044,2021,12,0.0995621645133382,0.5171119109415853,1.0622004467912267
2023-05-10,1251,2695.8,3326.55,0.23,2571.33,inflation,646.0,0.28,727.66,386.36,5,375.45,72,0,705.95,2251.77,Salary,1244.96,Rent,Neutral,45.1,Low,0.0,0,0,0,0,-630.75,2023,5,0.21221686131277148,0.6769085088154394,1.233975072334743
2023-11-06,1582,4735.73,1392.36,0.18,2826.4,inflation,671.0,0.49,428.61,748.8,5,874.75,68,0,150.96,3448.23,Salary,1142.43,Rent,Neutral,96.6,Medium,3343.37,1,0,0,0,3343.37,2023,11,0.10842023614582437,2.476536240627424,0.2940116940788432
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,inflation,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,Freelance,1097.82,Healthcare,Positive,58.8,Low,0.0,0,0,0,0,-404.3800000000001,2019,3,0.10602953609267354,0.4510639828755419,1.137957150655022
2023-01-10,1260,3710.47,3382.21,0.29,2221.05,inflation,676.0,0.4,458.11,461.35,5,998.14,31,0,668.39,1000.0,Salary,638.79,Rent,Positive,82.3,High,328.26,0,0,0,0,328.25999999999976,2023,1,0.1976193080855417,0.2956646689590534,0.9115314232428776
2022-04-15,1331,4275.82,2851.95,0.37,2554.44,inflation,642.0,0.41,344.75,196.22,4,855.83,98,0,740.56,2153.03,Freelance,1511.58,Utilities,Neutral,66.2,Low,1423.87,0,0,0,0,1423.87,2022,4,0.25966794649275055,0.754932589982293,0.6669948688204835
2021-02-19,1953,4001.32,4475.84,0.1,3499.12,inflation,722.0,0.32,520.58,355.72,2,2.95,62,0,434.63,3054.47,Salary,882.83,Insurance,Positive,51.1,Low,0.0,0,0,0,0,-474.52,2021,2,0.09710579466647601,0.6824350289554586,1.1185908650145453
2020-12-21,1270,2979.88,3909.91,0.28,2656.08,inflation,672.0,0.14,235.1,361.66,9,964.01,61,0,413.18,2763.88,Salary,1962.12,Investments,Neutral,97.7,Low,0.0,0,0,0,0,-930.0299999999997,2020,12,0.1056750666895146,0.7068909514541256,1.3121031719398095
2022-12-11,1030,4067.94,3821.36,0.34,2963.75,inflation,679.0,0.36,709.64,43.22,8,1087.31,78,0,65.61,2868.43,Freelance,1054.49,Groceries,Negative,38.9,Low,246.58,0,0,0,0,246.57999999999993,2022,12,0.0171692800468943,0.7506306655222224,0.9393845533611607
2019-05-31,1542,1596.51,2085.66,0.21,3378.62,inflation,742.0,0.57,302.47,432.82,1,932.31,54,0,381.53,1179.06,Freelance,1633.35,Healthcare,Positive,14.2,Medium,0.0,0,0,0,0,-489.14999999999986,2019,5,0.18293010366023224,0.565317453467967,1.3063870567675742
2022-05-15,1179,3052.14,2586.62,0.2,2530.32,inflation,709.0,0.36,405.98,85.53,6,837.85,41,0,598.99,2131.42,Freelance,1220.86,Dining Out,Positive,31.9,Low,465.52,0,0,0,0,465.52,2022,5,0.23157247682303547,0.8240174436136735,0.8474775075848421
2021-10-17,1302,4171.22,2548.5,0.38,2874.13,inflation,599.0,0.21,0.0,869.82,5,226.45,24,0,595.74,1633.11,Salary,646.15,Investments,Negative,9.4,Medium,1622.72,0,0,0,0,1622.7200000000003,2021,10,0.23376103590347264,0.6408122424955855,0.6109723294383896
2022-02-14,1401,3522.96,3828.39,0.05,3072.32,inflation,682.0,0.36,279.02,298.87,8,1881.79,45,0,302.61,1994.3,Salary,1237.43,Investments,Positive,61.9,Low,0.0,0,0,0,0,-305.42999999999984,2022,2,0.07904367109933942,0.520923939306079,1.0866969820832482
2022-10-12,1733,4598.99,4585.55,0.34,2286.21,inflation,662.0,0.25,834.16,503.72,3,858.3,40,0,507.65,2302.62,Salary,1101.72,Groceries,Neutral,58.7,Low,13.44,0,0,0,0,13.4399999999996,2022,10,0.1107064583310617,0.502146961651274,0.9970776192163933
2022-10-12,1339,3344.13,3264.27,0.1,2244.59,inflation,610.0,0.22,277.99,0.0,6,1079.64,27,0,387.0,2750.07,Salary,1111.73,Healthcare,Neutral,85.5,Medium,79.86,0,0,0,0,79.86000000000013,2022,10,0.11855636941797094,0.8424762657500758,0.9761193494272052
2023-04-10,1653,3297.83,2947.02,0.12,2899.12,inflation,700.0,0.39,835.27,404.3,2,877.6,38,0,636.56,3107.6,Salary,793.52,Groceries,Positive,39.0,Low,350.81,0,0,0,0,350.80999999999995,2023,4,0.216001248719045,1.0544889413712835,0.8936239891079892
2023-01-10,1578,4151.52,3116.6,0.22,2889.56,inflation,623.0,0.55,589.79,442.22,4,754.9,21,0,124.82,1781.24,Salary,529.5,Education,Positive,23.2,Medium,1034.92,0,0,0,0,1034.9200000000005,2023,1,0.04005005454662132,0.5715330809215171,0.7507129918680386
2020-02-25,1000,3381.06,2088.04,0.35,2127.41,inflation,616.0,0.52,914.31,271.64,9,1737.8,67,0,430.48,2091.79,Salary,1140.2,Rent,Positive,66.3,Low,1293.02,0,0,0,0,1293.02,2020,2,0.20616463286143946,1.0017959426064635,0.6175696379242013
2020-08-23,1545,4132.73,3577.41,0.38,1934.72,inflation,727.0,0.14,840.14,0.0,5,175.87,25,0,651.81,1960.84,Mixed,1303.56,Dining Out,Positive,46.3,Low,555.32,0,0,0,0,555.3199999999997,2020,8,0.18220164867879274,0.5481172132911799,0.8656287732322219
2023-11-06,1343,5797.88,4329.41,0.06,2497.18,inflation,600.0,0.23,423.71,97.52,5,1641.01,80,0,0.0,2625.18,Freelance,1061.48,Healthcare,Positive,25.6,Low,1468.47,0,0,0,0,1468.4700000000003,2023,11,0.0,0.6063597580270753,0.7467229401091433
2019-06-30,1305,2959.28,3246.62,0.28,2838.1,inflation,572.0,0.37,269.08,868.34,4,708.25,37,0,450.41,1668.53,Salary,688.08,Investments,Negative,27.3,Medium,0.0,0,0,0,0,-287.3399999999997,2019,6,0.13873197356019493,0.5139283316187296,1.0970979427428291
2023-01-10,1165,3229.95,2785.75,0.25,2757.98,inflation,628.0,0.56,259.25,449.76,4,934.02,26,0,647.72,1184.36,Salary,1162.68,Healthcare,Positive,88.8,Medium,444.2,0,0,0,0,444.1999999999998,2023,1,0.23251189087319393,0.42514942116126714,0.8624746513103918
2022-07-14,1035,3362.89,3047.81,0.35,2841.72,inflation,686.0,0.52,510.8,523.82,6,424.17,72,0,332.89,3136.8,Salary,1143.05,Transportation,Positive,16.2,Low,315.08,0,0,0,0,315.0799999999999,2022,7,0.10922268776596966,1.029198014311916,0.9063067778012365
2019-06-30,1215,3593.24,2719.12,0.17,2494.99,inflation,691.0,0.11,423.19,408.55,4,1712.98,95,0,321.14,2622.67,Salary,1012.76,Dining Out,Positive,70.5,Medium,874.12,0,0,0,0,874.1199999999999,2019,6,0.11810438671334844,0.9645289652534644,0.7567320858055683
2021-06-19,1220,4128.81,1695.2,0.25,3204.47,inflation,620.0,0.34,511.82,311.14,5,1266.15,48,0,881.72,1851.74,Salary,1728.87,Investments,Positive,90.3,Medium,2433.61,0,0,0,0,2433.6100000000006,2021,6,0.5201274185936763,1.0923430863614914,0.41057835066278175
2022-08-13,1560,4082.93,3438.61,0.16,2727.08,inflation,676.0,0.54,620.24,687.19,8,1156.6,49,0,415.21,2571.39,Salary,1240.75,Transportation,Positive,88.6,High,644.32,0,0,0,0,644.3199999999997,2022,8,0.12074937256624042,0.7477992560947592,0.8421917593492909
2022-03-16,1076,2408.45,3925.75,0.22,2359.19,inflation,631.0,0.13,529.17,596.36,9,1366.44,52,0,646.61,2148.69,Salary,1968.44,Transportation,Positive,14.0,Low,0.0,0,0,0,0,-1517.3000000000002,2022,3,0.16470992803922818,0.5473323568744826,1.6299902426872055
2021-11-16,1501,3893.02,3806.73,0.1,1665.95,inflation,718.0,0.14,763.87,756.29,7,1362.25,36,0,489.95,2046.04,Salary,630.11,Utilities,Positive,12.2,High,86.29,0,0,0,0,86.28999999999996,2021,11,0.1287062649570629,0.5374796741560341,0.9778346887506357
2020-03-26,1924,3314.49,2616.74,0.12,2834.98,inflation,668.0,0.12,906.75,1006.41,4,930.4,91,0,578.38,2802.85,Salary,664.43,Dining Out,Negative,90.7,Low,697.75,0,0,0,0,697.75,2020,3,0.22103074818285348,1.0711228475125538,0.7894849584702323
2019-09-28,1035,4483.58,3970.71,0.12,1672.27,inflation,661.0,0.18,190.4,209.18,6,747.42,71,0,431.81,2178.74,Salary,960.35,Rent,Negative,0.9,Low,512.87,0,0,0,0,512.8699999999999,2019,9,0.10874881318454382,0.5487028768154814,0.8856114979547594
2019-07-30,1236,4524.43,3708.33,0.16,3306.8,inflation,714.0,0.46,705.24,601.38,2,1114.45,67,0,506.18,1860.51,Salary,1577.19,Healthcare,Negative,22.1,Low,816.1,0,0,0,0,816.1000000000004,2019,7,0.13649810022301145,0.501711012773944,0.819623687403717
2023-10-07,1514,4197.9,2379.33,0.19,2995.86,inflation,657.0,0.31,735.43,222.66,1,1026.72,54,0,552.89,2730.31,Mixed,1060.23,Groceries,Positive,92.3,Medium,1818.57,0,0,0,0,1818.5699999999997,2023,10,0.2323721383750888,1.147512114754994,0.566790538126206
2023-01-10,1734,5461.23,2857.86,0.06,3539.62,inflation,773.0,0.3,470.75,480.29,9,353.31,91,0,599.11,2285.28,Salary,1804.51,Healthcare,Negative,64.5,High,2603.37,0,0,0,0,2603.3699999999994,2023,1,0.20963588139377015,0.7996472885305789,0.5232996962222797
2020-02-25,1521,4516.16,3683.37,0.31,1824.49,inflation,685.0,0.23,297.37,155.75,7,1878.64,42,0,440.47,1503.34,Salary,1362.81,Investments,Neutral,33.7,Low,832.79,0,0,0,0,832.79,2020,2,0.11958342496138048,0.40814254337739625,0.8155977644724722
2019-01-31,1774,5296.21,3338.49,0.32,2407.96,inflation,725.0,0.18,315.97,911.24,9,649.54,35,0,940.39,1386.12,Mixed,1469.31,Education,Negative,89.7,Low,1957.72,0,0,0,0,1957.7200000000003,2019,1,0.28168123912307663,0.4151936953532885,0.6303545365459451
2021-04-20,1372,3427.36,2559.47,0.39,3041.6,inflation,587.0,0.58,491.47,315.95,6,998.34,70,0,551.35,2810.04,Salary,1754.23,Dining Out,Positive,52.7,High,867.89,0,0,0,0,867.8900000000003,2021,4,0.21541569152988707,1.097899174438458,0.7467759441669389
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,inflation,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,Salary,423.02,Dining Out,Positive,27.9,Medium,3796.15,1,0,0,0,3796.15,2021,3,0.17091205327730194,0.8795250983813814,0.37175941785781075
2022-05-15,1730,3988.94,2043.14,0.16,3685.66,inflation,626.0,0.17,741.49,495.19,1,631.24,70,0,285.31,2843.3,Salary,927.81,Groceries,Negative,25.3,Low,1945.8,0,0,0,0,1945.8,2022,5,0.13964290259110976,1.3916324872500172,0.5122012364186977
2021-02-19,1777,3194.54,3007.88,0.18,1507.83,inflation,687.0,0.49,325.07,215.27,7,1304.1,64,0,646.88,1600.71,Salary,451.76,Transportation,Neutral,42.4,Medium,186.66,0,0,0,0,186.65999999999985,2021,2,0.21506177108129312,0.5321721611234491,0.9415690521953083
2023-01-10,1221,3299.78,3499.48,0.27,3246.7,inflation,693.0,0.3,428.05,0.0,1,1253.87,28,0,530.65,2714.9,Salary,1964.7,Rent,Positive,95.2,Low,0.0,0,0,0,0,-199.69999999999982,2023,1,0.1516368146124567,0.7758009761450273,1.06051918612756
2019-01-31,1728,4728.6,3526.07,0.26,3004.27,inflation,723.0,0.53,683.77,0.0,4,989.76,76,0,462.5,1476.23,Salary,1058.97,Insurance,Negative,49.4,Low,1202.53,0,0,0,0,1202.5300000000002,2019,1,0.1311658588740439,0.4186615693959564,0.7456900562534365
2019-01-01,1465,4784.64,2873.62,0.07,2847.63,inflation,629.0,0.49,741.76,616.82,7,1483.28,82,0,710.58,2170.36,Freelance,1306.07,Groceries,Neutral,9.8,Medium,1911.02,0,0,0,0,1911.0200000000004,2019,1,0.24727695380739279,0.7552703558577684,0.6005927300695558
2023-02-09,1768,2639.7,1116.79,0.25,3016.33,inflation,724.0,0.18,368.42,671.49,7,310.81,61,0,235.87,1821.95,Salary,1301.22,Utilities,Neutral,16.2,Low,1522.91,0,0,0,0,1522.9099999999999,2023,2,0.21120353871363462,1.6314168285890813,0.4230745918096754
2019-04-01,1299,3033.43,3264.14,0.16,3004.84,inflation,682.0,0.37,695.7,148.08,3,912.48,28,0,390.15,2203.19,Salary,910.4,Education,Neutral,77.4,Low,0.0,0,0,0,0,-230.71000000000004,2019,4,0.11952612326677164,0.6749679854418009,1.0760558180014044
2022-07-14,1980,2415.69,3040.38,0.31,2877.84,inflation,738.0,0.12,425.88,454.91,2,345.8,71,0,562.3,1710.66,Salary,1355.4,Entertainment,Positive,78.4,High,0.0,0,0,0,0,-624.69,2022,7,0.18494398726474978,0.5626467744163559,1.2585969226183824
2022-04-15,1328,4502.18,3928.08,0.27,2635.51,inflation,668.0,0.15,584.56,0.0,5,1021.89,22,0,593.51,1721.17,Salary,300.0,Investments,Negative,75.5,Medium,574.1,0,0,0,0,574.1000000000004,2022,4,0.15109417323476101,0.43817081118510826,0.8724839966416269
2020-05-25,1763,5136.21,4502.06,0.2,2634.13,inflation,635.0,0.53,443.15,320.49,7,52.89,43,0,473.34,2388.88,Salary,823.84,Groceries,Positive,31.8,Low,634.15,0,0,0,0,634.1499999999996,2020,5,0.10513853658103178,0.5306193164906732,0.8765334750720863
2022-03-16,1750,4056.64,2764.49,0.17,2822.13,inflation,649.0,0.25,542.19,359.37,5,1258.19,63,0,309.1,2440.89,Salary,1239.51,Insurance,Neutral,1.4,Low,1292.15,0,0,0,0,1292.15,2022,3,0.11181085842234917,0.882944051163144,0.6814728445215745
2022-05-15,1345,4470.05,2118.36,0.4,3281.43,inflation,701.0,0.19,438.25,667.81,7,1787.5,73,0,477.87,1808.45,Freelance,867.58,Entertainment,Neutral,24.6,Low,2351.69,0,0,0,0,2351.69,2022,5,0.2255848864215714,0.8537028644800695,0.4739007393653315
2023-04-10,1262,3264.93,3252.85,0.16,1862.55,inflation,600.0,0.45,695.42,383.75,8,1171.39,36,0,217.68,2895.48,Salary,449.42,Insurance,Positive,73.8,Medium,12.08,0,0,0,0,12.079999999999927,2023,4,0.066919778040795,0.8901363419770355,0.9963000738147526
